PF;CFF;NOMENCLATURA;UN;PRICE UNIT(U$)
422201E594Z;14242;CLAMP,LOOP;EA;459,66
MS21916W5-4;81343;REDUCER,TUBE;EA;158,64
MS20470AD5-12;96906;RIVET,SOLID;EA;107,78
D2SE-363;53399;TRANSISTOR;EA;1022,46
MS25231-313;96906;LAMP,INCANDESCENT, COLORLESS, 0.170 AMPERES, 28 VOLTS;EA;1,76
AN815-6D;88044;NIPPLE,BOSS;EA;16,89
MS20426AD4-6;96906;RIVET,SOLID;EA;94,44
MS51957-42;96906;SCREW,MACHINE;EA;130,14
109D437X9030T2;5079;CAPACITOR,FIXED ELCTROLYTIC;EA;274,17
22607G-01;71483;CORD ASSEMBLY;EA;140,48
MS20115-2;96906;SHACKLE;EA;278,02
MS21044N7;96906;NUT,SELF-LOCKING,HEXAGON;EA;5,21
MS24693-S247;96906;SCREW,MACHINE;EA;3,94
110P2-1244-50-08;S4956;PIN,RETAINING;EA;377,46
PE25041-027-03;AW25$;PINO;EA;339,55
11053009;K0068;BREAKING PIN;EA;324,62
MS27641KP3A-FS464;96906;ROLAMENTO;EA;236,9
AN216-2-8;88044;BALL;EA;38,58
65-0121-173;72914;LIGHT IND;EA;15208,9
B5193-11;17472;TUBE;EA;343,68
110-502-21-13;S4956;SLEEVE;EA;181,62
MCS233;K0481;CABLE ASSEMBLY,COAXIAL;EA;3750,9
MS25219-13;96906;LIGHT;EA;811,38
359-0657-110;58257;MATING CONN MS27467T25F35S;EA;463,14
55-1110-9WE;72914;RUBBER BLADE;EA;1101,58
MS21902-D5;96906;NIPPLE;EA;52,09
JMS3100F18-19P;96906;CONNECTOR, RECEPTACLE, ELECTRICAL;EA;162,67
9560119150;F0228;STRAP, TIEDOWN, ELECTRICAL COMPONE;EA;9,29
18191-011;74025;CELL, BATTERY;EA;4008,69
MS16624-1066;96906;RING;EA;42,98
AE18883E;69705;ADAPTER 45;EA;691,03
BZ1R2441;F1688;INTERRUPETER;EA;5330,22
B355-54;17472;WASHER;EA;448,86
B5193-2;17472;TUBE MAIN CARR;EA;15400,32
B5193-3;17472;TUBE MAIN CARR;EA;6363,1
B5197;72121;COVER;EA;2908,01
A9162-5;82152;INSCR TEC;EA;1897,31
B6607;72121;RACE THRUST;EA;2969,05
CE2-56;K0481;BOWL;EA;1153,38
